Date;EMP;PE;CAPE;DY;Rho;MOV ;IR;RR;Y02;Y10;STP;CF;MG;RV;ED;UN;GDP;M2;CPI;DIL;YSS;NYF;_AU;_DXY;_LCP;_TY;_OIL;_MKT;_VA;_GR
3/5/89;3,8%;12,2;14,682;3,66;0,63;100;8,63;2,238;9,54;9,308;-0,232;0,0504786771105308;10,1%;13,1%;16,4%;-0,0877192982456141;0,0431515525707373;0,042433110367893;0,0470433543957047;-0,010978843780756;0,043279;2,042924136;386,5;95,78;3320,3;100,419;18,66;464,42;971,927;521,569
3/12/89;3,8%;12,3;14,785;3,66;0,647;98,4;8,74;2,238;9,692;9,343;-0,349;0,0504786771105308;10,1%;13,1%;16,4%;-0,0877192982456141;0,0431515525707373;0,042433110367893;0,0470433543957047;-0,0109776237816133;0,033839;2,042924136;393,25;96,49;3384,2;100,37;18,52;468,11;971,927;521,569
3/19/89;3,8%;12,3;14,791;3,66;0,646;105,4;8,85;2,468;9,866;9,479;-0,387;0,04170363797693;10,1%;13,1%;16,4%;-0,12280701754386;0,0431515525707373;0,0377071297609575;0,0468499927251564;-0,0109440342696421;0,064092;1,701068961;393;97,31;3250,3;99,679;20,34;468,76;971,927;521,569
3/26/89;3,8%;12,2;14,628;3,7;0,652;98,4;9,04;2,468;9,873;9,429;-0,444;0,04170363797693;10,1%;13,1%;16,4%;-0,12280701754386;0,0431515525707373;0,0377071297609575;0,0468499927251564;-0,0109474278286252;0,031243;1,701068961;395,5;96,99;3276,4;100,177;20,16;464,05;971,927;521,569
4/2/89;3,8%;12,4;14,927;3,64;0,651;96,5;8,9;2,468;9,745;9,273;-0,472;0,04170363797693;10,1%;13,1%;16,4%;-0,12280701754386;0,0431515525707373;0,0377071297609575;0,0468499927251564;-0,00977382333261545;0,036161;1,701068961;383,75;98,14;3113,5;101,348;20,27;473,99;987,4;536,955
4/9/89;3,8%;12,5;14,94;3,61;0,632;101,6;8,8;2,468;9,641;9,278;-0,363;0,04170363797693;10,1%;13,1%;16,4%;-0,12280701754386;0,0431515525707373;0,0377071297609575;0,0468499927251564;-0,0103120828948846;0,0371;1,701068961;382,25;97,52;3072,1;101,493;20,02;477,9;987,4;536,955
4/16/89;3,8%;12,6;15,149;3,57;0,633;98,2;8,61;2,451;9,472;9,188;-0,284;0,00777873811581675;10,1%;13,1%;16,4%;-0,0370370370370371;0,0431515525707373;0,0327412649878036;0,0449733055832051;-0,0106452434422245;0,03868;1,381331804;387,25;96,93;3171,9;102,247;20,68;485,01;987,4;536,955
4/23/89;3,8%;12,8;15,529;3,48;0,64;108;8,64;2,451;9,453;9,149;-0,304;0,00777873811581675;10,1%;13,1%;16,4%;-0,0370370370370371;0,0431515525707373;0,0327412649878036;0,0449733055832051;-0,01087902725429;0,048094;1,381331804;384,5;96,36;3085,2;102,68;23,38;497,61;987,4;536,955
4/30/89;3,8%;12,7;15,591;3,5;0,628;110,6;8,41;2,451;9,262;9,031;-0,231;0,00777873811581675;10,1%;13,1%;16,4%;-0,0370370370370371;0,0431515525707373;0,0327412649878036;0,0449733055832051;-0,0108014062317321;0,030685;1,381331804;378,25;97,71;3057,7;103,627;20,38;500,05;1030,995;572,089
5/7/89;3,8%;12,6;15,435;3,55;0,623;110,4;8,43;2,451;9,093;9,011;-0,082;0,00777873811581675;10,1%;13,1%;16,4%;-0,0370370370370371;0,0431515525707373;0,0327412649878036;0,0449733055832051;-0,00569084217715721;0,023228;1,381331804;375,75;98,42;2961,5;103,931;20,07;498,34;1030,995;572,089
